HD137387     -15.0817   -0.0382233      39.8926     -24.1382     -27.0521
      29.8383
2.21802      2.21467      2.15589      2.25280      2.43483      2.35657
  997.5003    0.022626    0.015844    0.032266    0.023024    0.022032    0.019013
 1005.0003    0.023413    0.017787    0.032994    0.022501    0.021404    0.018595
 1012.5003    0.025095    0.019325    0.032759    0.023022    0.021357    0.018447
 1020.0003    0.026647    0.019586    0.031784    0.024058    0.022432    0.019070
 1027.5003    0.027723    0.019433    0.030151    0.024995    0.024118    0.020543
 1035.0003    0.028689    0.020303    0.028343    0.026151    0.025601    0.022344
 1042.5003    0.029461    0.022451    0.027199    0.027964    0.026506    0.024119
 1050.0003    0.029699    0.024687    0.027064    0.029946    0.026981    0.026029
 1057.5003    0.029237    0.026283    0.027466    0.031168    0.027572    0.028307
 1065.0003    0.028572    0.026999    0.028199    0.031496    0.028534    0.030822
 1072.5003    0.028446    0.026663    0.029672    0.031324    0.029955    0.033107
 1080.0003    0.029045    0.025579    0.032069    0.031409    0.032010    0.034514
 1087.5003    0.030531    0.024778    0.034513    0.032014    0.034121    0.035325
 1095.0003    0.032784    0.025453    0.036146    0.032712    0.035397    0.035860
 1102.5003    0.035453    0.027872    0.037199    0.033101    0.035162    0.036037
 1110.0003    0.037588    0.031134    0.038163    0.032815    0.033804    0.035633
